Category	Variable	Label	Coding	Variable type	Comment	Confluence Variable 	Data Type
Survival	BrDeath	If death whether died from breast cancer	"0=death from other cause, 1=death from breast cancer, 777=NA, 888=DK"	qualitative - categorical		Yes	Survival and Treatment
Relapse	Locoregional_relapse	Locoregional relapse	"0=no, 1=yes, 2=Local relapse, 3=Regional relapse to the lymph nodes, 4=both local and regional, 888=DK"	qualitative - categorical	Recurrence is reappearance of disease after a period of remission (3 months?)	Yes	Survival and Treatment
Relapse	Distant_metastasis_relapse	Distant metastases relapse	"0=no, 1=yes, 888=DK"	qualitative - categorical	Recurrence is reappearance of disease after a period of remission (3 months?)	Yes	Survival and Treatment
Relapse	YearsToRelapse	Time in years between diagnosis and first relapse	"years, 777=NA, 888=DK"	quantitative - continuous	Calculated as ([Date_Locoregional_relapse]-[DateDiagIndex])/365.25 OR ([Date_Distant_metastasis_relapse]-[DateDiagIndex])/365.25 depending on whether [Date_Locoregional_relapse] or [Date_Distant_metastasis_relapse] is first	Yes	Survival and Treatment
Relapse	YearsToLocoregionalRelapse	Time in years between diagnosis and locoregional relapse	"years, 777=NA, 888=DK"	quantitative - continuous	Calculated as ([Date_Locoregional_relapse]-[DateDiagIndex])/365.25	Yes	Survival and Treatment
Relapse	YearsToDistantMetastasisRelapse	Time in years between diagnosis and distant metastasis	"years, 777=NA, 888=DK"	quantitative - continuous	([Date_Distant_metastasis_relapse]-[DateDiagIndex])/365.25 	Yes	Survival and Treatment
Relapse	Date_Follow_up_relapse	Last date that follow-up was updated for relapse	"dd/mm/yyyy, 07/07/7000=NA, 08/08/8000=DK"	date	"This variable is to know the completeness of follow-up. For relapse this may be different from last date of follow-up for death/survival (if the latter is obtained e.g. by linkage with death registries). If only year of follow-up for relapse is available, use the first of July as a surrogate for the true day and month; if only month and year of follow-up for relapse are available, use the 15 as a surrogate for the true day. "	Yes	Survival and Treatment
Relapse	Date_Follow_up_relapse_known	Marker for date of follow-up relapse	"DMY=day,month and year known; MY=only month and year known; Y=only year known; NA=all unknown"	qualitative - text	This marker allows the identification of true and surrogate dates.	Yes	Survival and Treatment
Adjuvant Chemotherapy	Chemo_adjuvant	Adjuvant chemotherapy	"0=no, 1=yes, 888=DK"	qualitative - categorical		Yes	Survival and Treatment
Adjuvant anti-hormone therapy	Horm_adjuvant	Adjuvant anti-hormone therapy	"0=no, 1=yes, 888=DK"	qualitative - categorical		Yes	Survival and Treatment
Adjuvant trastuzumab therapy	Trastuzumab_adjuvant	Adjuvant trastuzumab	"0=no, 1=yes, 888=DK"	qualitative - categorical		Yes	Survival and Treatment
Surgery	Surgery	Breast surgery 	"0=no, 1=breast saving, 2=mastectomy (with or without axilary), 3=type unknown; 888=DK"	qualitative - categorical		Yes	Survival and Treatment
Radiation therapy	Radiation	Adjuvant radiation	"0=no, 1=yes, breast, 2=yes, breast and lymph nodes, 3=yes, lymph nodes only, 4=yes, metastases, thoracic spine, 5=yes, organ unknown, 888=DK"	qualitative - categorical		Yes	Survival and Treatment
Neoadjuvant chemotherapy	Chemo_neoadjuvant	Neoadjuvant chemotherapy	"0=no, 1=yes, 888=DK"	qualitative - categorical		Yes	Survival and Treatment
